anno,sede,estado
1987,Xalapa,Veracruz
1988,Hermosillo,Sonora
1989,Metepec,Puebla
1990,Guanajuato,Guanajuato
1991,Oaxtepec,Morelos
1992,La Trinidad, Tlaxcala
1993,Acapulco,Guerrero
1994,Guadalajara,Jalisco
1995,Colima,Colima
1996,Mérida,Yucatán
1997,Monterrey,Nuevo León
1998,Querétaro,Querétaro
1999,Oaxaca,Oaxaca
2000,Morelia,Michoacán
2001,Oaxtepec,Morelos
2002,Colima,Colima
2003,Guanajuato,Guanajuato
2004,Ixtapan de la Sal,Edo. de México
2005,Campeche,Campeche
2006,Zacatecas,Zacatecas
2007,Saltillo,Coahuila
2008,San Carlos,Sonora
2009,Campeche,Campeche
2010,Ensenada,Baja California
2011,San Luis Potosí,San Luis Potosí
2012,Guanajuato,Guanajuato
2013,Huasca,de Ocampo Hidalgo
2014,Toluca,Edo. de México
2015,Guadalajara,Jalisco
2016,Acapulco,Guerrero
2017,Santiago,Nuevo León
2018,Campeche,Campeche
2019,Ciudad de México,Ciudad de México
2020,Virtual,
2021,Virtual,
2022,Oaxtepec,Morelos
2023,Durango,Durango
2024,Oaxtepec,Morelos
2025,Oaxtepec,Morelos